nama,ulasan
Wos Owos,"Tempat hijau yang jadi jantungnya Kota Santri!

Alun-Alun Jombang benar-benar tampil memikat setelah revitalisasi. Atmosfernya adem banget, penuh pepohonan rindang yang bikin betah duduk-duduk santai atau sekadar leyeh-leyeh bareng keluarga. Fasilitasnya juga lengkap dan terawat: ada taman bermain anak, ruang baca, musala, bahkan pendopo dengan nuansa Jawa yang kental.

Lokasinya strategis—tinggal jalan kaki dari Stasiun Jombang—dan suasananya hidup tapi tetap nyaman. Di sekitar alun-alun juga banyak pilihan kuliner lokal dan spot nongkrong kece. Jangan lupa kasih makan burung merpati yang berkeliaran, mereka jadi daya tarik tersendiri!

Cocok banget buat rekreasi sore, olahraga ringan, atau bahkan sekadar cari inspirasi di tengah keramaian kota. Alun-Alun Jombang bukan cuma tempat transit, tapi juga tempat menikmati hidup dengan cara yang sederhana tapi bermakna.
Bintang 5 untuk Alun-Alun Jombang, Recomended untuk menjadi ikon kota!"
luthfia hajar,"Lebih tepatnya numpang solat di masjid dkt alun2 situ. Terus makan siang mie ayam di pinggir alun2. Mgkn krn weekday, jd pedagang makanan gak kelihatan berjejer2. Kalo weekend kayaknya rame. Banyak pohon tinggi2 di depan masjidnya, bikin suasana siang jd adem. Kalo di tengah alun2nya ya puanas poll..hehe.

Lokasinya strategis banget. Persis di depan stasiun Jombang. Bisa buat iseng healing tipis2 buat warga kota tetangganya Jombang, naek kereta ke Jombang, trs nyebrang jalan kaki maen ke alun2. Solat juga tinggal melangkah ke masjid yg luas dan nyaman bgt. Parkir mobil buat ke masjid ada tukang parkirnya buat nyariin tempat parkir di pinggir alun2.

Ada playground. Sayang pagarnya dikunci. Ntah sebenernya boleh dipake apa enggak. Tapi yg jelas banyak yang main di dalam lewat celah2 pagar. Yaa namanya juga lagi masa liburan, ya rame pengunjung lah.. Kesana 29 Juni 2024."
Ira N,"Ada jam nya untuk bermain anak nya.. Maksud nya di buka di jam tertentu (ada jam-jam nya). Alun2 nya luas.. Menyenangkan.. Ada masjid Jamik jg.. Dkt sekolahan SD / SMP 2 / SMA 1.
Kau hari Minggu ada CFD (Car free day)
Deket Stasiun jg..
Kalau ke Kota Jombang mampir lah ke sini.."
zahrotus sita csb,"bagus bangett, adem sejuk banyak pohon, aneka jajanan ada di sekitar alun-alun"
agus rudi Purnomo,"Banyak sampah dimana mana. Kesadaran pengunjung akan kebersihan dan jangan buang sampah sembarang bahkan didalam lapangan rumput, taman bermain, jalan depan masjid. Perbanyak tempat sampah, bila perlu dibuat tiap 2 meter."
Realis Achsani,"Alun-alunnya berfasilitas lengkap, ada playground buat anak-anak, banyak tempat duduk, tempat sampah, dan juga WC Umum. Bisa parkir motor juga tapi bagian yang adem-adem ada jukirnya. Mungkin kebersihan bisa dijaga atau ada yang patroli, karena kemaren liat mbah-mbah duduk di teras WC Umum, kencing bukannya di WC malah di taman pojok tembok belakang WC, kasian tanaman pucuk merahnya kena pipis, yek."
Dwi Lailatul Qodriyah,"Alun2 super bersih, luas , dan ada wahana bermain anak gratis..."
Mika BintangL,"Enak tempatnya buat olahraga, santai / sekdar menikmati angin pagi."
Saulien Bro,"Tempatnya enak buat nongki, area playground free wifi"
bim bom,"Tempat asik dan nyaman untuk nyantai bareng keluarga , ada wahana bermain juga"
Dwi Fransisca,"Weekend, tempatnya rame, 🫶 bersih alun2 nya, …"
M Orip Arifianto,Cocok buat anak2 untuk bermain karena ada playground yg cukup luas. Untuk saat ini masih layak digunakan. Masjid yg ada juga lumayan bersih
yusse putri sandhika,"Cantik banget kalo bunganya lagi pada mekar, boleh diinfo kapan aja ya waktu mekar bunga ini? Soalnya kemarin ke sini karna kebetulan aja, besok2 kalo mau ke jombang kepengin pas bunganya pada mekar lagi..."
Maria Tanjung,"Yang mau healing tipis-tipis, bisa banget ke Alun-alun jombang. Naik kereta api comuter cuma 12ribu aja lho."
Tyo Armianto,"Pas lewat jombang mampir kesini, untuk lokasi strategis dan cocok untuk area bersantai bareng anak istri maupun pasangan muda mudi. Untuk playground nya sendiri buka jam 15.00 tempatnya bersih dan menurut saya sangat nyaman untuk duduk bersantai sambil menunggu anak bermain. Makanan juga murah parkir juga gak mematok tarif menjadi nilai plus tersendiri."
Just baihaki,"Alun-alunnya bagus, bersih. Ada wahana permainan, jalur untuk jogging dan kulineran."
ach tri3,"Sekitar alun"" jombang bagus, dan sekitar ada stasiun dan masjid untuk ibadah sholat ada juga bermain untuk anak kecil. Saran saya dilarang merokok di tempat wahana anak kecil !!"
Matters,Tempat yang luas nan asri tersedia juga tempat bermain anak serta juga ada masjid dan lokasinya strategis yang di seberang jalan nya ada stasiun kereta api
Desy Permata Sari,"Salah satu pilihan ruang terbuka untuk olahraga jogging, jalan santai, atau olahraga ringan lainnya. Mines masih ditemukan sampah"" Botol bekas minuman, plastik, dan bungkus makanan berserakan di sekitar lokasi."
Anang Mulyawan,"Bagus, suasana enak, nyaman buat anak2"
Anita Wulandari,"Asik buat nongkrong, piknik, olah raga dsb. Cuma kadang terganggu sama pengamen 🫠.

Dan mohon untuk pemerintah dinas jombang lebih banyak untuk memerintahkan petugas kebersihan di alun2 , karena masih banyak sampah berserakan , dan agak terganggu juga sama tai burung dara , karena jalur untuk jogging itu melewati lantai yg banyak tai burung agak terganggu jg sih , takut menempel di sepatu kan jyjyk."
Rosyita Bazaz,"Berada di pusat kota Jombang, alun-alun ini mudah diakses dan menjadi titik kumpul yang ramai. Parkir di masjid Rp 2.500
Dikelilingi pepohonan hijau dan taman yang asri, alun-alun ini menawarkan suasana yang tenang dan nyaman untuk bersantai.
Area bermain anak dan fasilitas lainnya membuat alun-alun ini cocok untuk dikunjungi bersama keluarga.
Keberadaan warung makan di sekitar alun-alun menambah daya tarik wisata kuliner. Disini ada es degan yg mantap hanga es degan  2 dan mie ayam 3 es jeruk 1 total semua 41.000 maaf tidak tanya satuanya .
Ada cemilan sempol enak ini sempolnya muerce hanya Rp 500 per tusuk,
Dah ya thank you"
Adi Setiawan,"Playground yg bsar pepohonan yg banyak dan rimbun, Sangat pass buat santai keluarga di waktu libur"
rosta rosa,Wes seharusnya setiap kota seperti Jombang :)
Nindi Handana Putri,"First time saya kesini. Minggu 15 Oktober 2k23 .
Sekarang memang lagi musim panas , jadi jam 8 di area alun² sudah terasa seperti jam 12 siang. Area bermain anak² pun panas sekali . masyaAllah kaki rasanya terbakar waktu menginjak area bermain anak².
Alun2nya cukup bersih, ada burung merpati nya juga hihi ... Ada masjid. Sayangnya toilet masjid nya bau + keran air nya kecil sekali . Banyak pedagang jajanan juga.
Kalau di kasih gazebo kayaknya lebih enak buat duduk² 😃

Parkir 3k . Overall okey lah 😃"
Abdul Hakam,"alun2nya bersih, tertata dan ada playgroundnya, cuman ada jam bukanya"
Immash Pratiwi,"1. Alun-alunnya bersih dan rapi
2. Ada area khusus bermain anak, alas kaki harus dilepas
3. Permainan cukup menarik dengan material yang bagus
4. Penataan tempat duduk di sekitar area bermain cukup bagus
5. Toilet bersih"
aimma,"Saya beberapa kali kesana saat playgroundnya tutup. Jam 8 malam sudah ditutup. Saat solat magrib ditutup, tengah hari saat hari jumat juga ditutup. Sekedar info saja biar tidak salah waktu seperti saya hehehe. Saat siang hari playground panas buanget. Jadi tidak terlalu nyaman untuk digunakan bermain. Waktu yang paling asyik untuk menghabiskan waktu di alun alun saat yaitu saat habis magrib. Pengunjung alun-alun sangat banyak terutama saat weekend. Jadi saya berpesan untuk hati-hati  menjaga anak dan barang bawaan. Terahir kesana minggu lalu ada anak yang nangis mencari ibunya yang entah kemana..ohiyaa for the last kalo kesana jangan lupa bawa snack dan minuman. Karena disana jauh dari orang jualan..sekilas ulasan saya.. semoga alun alunnya tetap awet, bersih, indah, dan nyaman seperti saat ini.."
Bambang Imron Rosyadi,"Alun-Alun Jombang Nawa Timur adalah sebuah area terbuka yang menjadi jantung kehidupan sosial dan budaya di Kota Jombang, Jawa Timur, Indonesia. Dengan sejarah yang kaya dan atmosfer yang unik, alun-alun ini telah menjadi titik fokus bagi berbagai acara dan kegiatan yang menghubungkan masyarakat setempat.

Sejarah dan Makna

Alun-alun telah menjadi bagian integral dari sejarah Jombang. Awalnya digunakan sebagai tempat pertemuan dan perayaan, alun-alun menjadi tempat berkumpulnya orang-orang untuk berinteraksi, berbelanja, dan menikmati hiburan. Nama “Nawa Timur” mengacu pada sembilan arah mata angin, yang melambangkan keberagaman dan inklusivitas kota ini.

Keberagaman Kegiatan

Alun-alun Jombang Nawa Timur menjadi panggung berbagai kegiatan budaya, seni, dan hiburan. Konser musik, pertunjukan seni rupa, festival kuliner, dan pasar malam adalah contoh beberapa acara yang sering diadakan di sini. Selain itu, alun-alun juga menjadi tempat untuk peringatan hari-hari besar dan upacara adat yang penting.

Tempat Bersejarah

Tidak hanya sebagai tempat hiburan, alun-alun juga memiliki nilai sejarah. Monumen dan patung di sekitar alun-alun sering kali mengandung pesan historis yang mengingatkan kita akan perjalanan kota ini dari masa ke masa. Masyarakat sering kali berkumpul di alun-alun untuk merayakan prestasi lokal atau meratapi peristiwa penting.

Simbol Identitas

Alun-alun Jombang Nawa Timur bukan hanya sekadar tempat fisik, tetapi juga menjadi simbol identitas bagi warga Jombang. Ini adalah tempat di mana orang-orang dari berbagai lapisan masyarakat dapat bertemu, berinteraksi, dan merayakan keberagaman mereka. Hal ini menciptakan ikatan sosial yang kuat dan meningkatkan rasa kebersamaan di antara penduduk kota.

Lokasi
Anda dapat menemukan Wisata Alun-Alun Jombang dengan mengakses Google Maps dan mencari “Wisata Alun-Alun Jombang”. Di sana, lokasi tempat wisata ini sudah ditandai dengan jelas. Wisata Alun-Alun Jombang berlokasi di desa Jombatan, Kecamatan Jombang, Kabupaten Jombang, Provinsi Jawa Timur, seperti yang telah disebutkan sebelumnya. Jika Anda mengalami kesulitan menemukan lokasi, Google Maps adalah alat yang sangat berguna untuk membantu Anda menemukan arah menuju Wisata Alun-Alun Jombang.
Daya Tarik
Wisata Alun-Alun Jombang adalah destinasi yang tidak boleh Anda lewatkan karena keindahannya yang memukau. Masyarakat lokal di Jombang sangat ramah dan hangat menyambut wisatawan dari lokal, luar kota, dan bahkan luar negeri. Kota Jombang terkenal dengan daya tarik wisatanya, dan salah satunya adalah Wisata Alun-Alun Jombang. Alun-alun adalah objek wisata yang selalu menjadi pusat kegiatan tanpa dikenakan biaya (biasanya gratis), dan hal ini juga berlaku di Jombang. Alun-alun di sini selalu hidup dengan kehadiran pengunjung yang datang untuk berolahraga atau sekadar bersantai.

Yang membedakan Alun-Alun Jombang adalah keberadaan empat pilar menara masjid, serta ruang yang luas yang memungkinkan anak-anak bermain dengan leluasa, disertai taman yang indah berbunga di sekitarnya. Wisata Alun-Alun Jombang paling ramai dikunjungi pada pagi atau sore hari, saat Anda dapat menikmati udara segar di taman kota yang menawan ini.

Fasilitas
Wisata Alun-Alun Jombang merupakan destinasi taman yang dilengkapi dengan fasilitas dan layanan yang memadai, antara lain:
Tempat Parkir untuk Kendaraan
Mushola
Fasilitas Kamar Mandi / Toilet
Restoran atau Tempat Makan
Dan masih banyak fasilitas lainnya yang tersedia.
Transportasi
Bagi para wisatawan yang berasal dari Kota Jombang, sudah tidak lagi bingung dalam mencari lokasi Wisata Alun-Alun Jombang. Namun, bagi para wisatawan dari luar kota bahkan luar negeri, mungkin merasa khawatir dan takut tersesat. Namun, jangan khawatir, bagi wisatawan yang datang dari luar kota Jombang, saya memiliki solusi agar Anda tidak tersesat. Saya merekomendasikan menggunakan kendaraan pribadi seperti mobil atau motor saat berkunjung ke Wisata Alun-Alun Jombang. Anda dapat memanfaatkan panduan arah di Google Maps yang terpasang di smartphone Anda untuk membantu Anda mencapai tujuan dengan lebih mudah."
Arif Subagyo,Lumayan bersih dan asri. Sayang disekitarnya gak ada kuliner yg khas. Cari nasi samin tapi gak nemu
Lina Sari,"Bersih, sejuk, asri dan ada arena bermain anak-anak. Enak untuk sekedar olahraga jalan sehat mengelilingi alun-alun. Tidak terlalu banyak pedagang asongan pas saya kesana. Didepan lokasi alun-alun ada stasiun kereta kabupaten Jombang. Dan di samping kanannya ada masjid agung kabupaten Jombang."
Maimiaw,"Tempat nya sangat bersih, asri dan syahdu. Penerangan juga cukup dan banyak ruang terbuka hijau."
Alma Yusilia Ulfa,"- Salah satu icon kota Jombang yang sangat cocok dikunjungi bareng keluarga karena setelah renovasi makin bagus dan tertata
- Ada Playground anak2 jadi bisa bermain serta ada tempat duduk yang bisa digunakan untuk menunggu anak2 bermain
- Minusnya kalau ada event parkirnya jadi naik biasanya 2k bisa jadi 5k-10k untuk sepeda motor, jadi kadang males
- Next semoga makin berbenah dan banyak tempat2 untuk ramah anak

Thanks"
Eva Indira,"Bagus, ada area bermain untuk anak2, tempat luas.. Tapi disarankan jangan kesini waktu pagi ke siang hari karena sangat panas sekali..."
nR-Didi,"Mudik lebaran, jalan sehat di alun2 pasca ramadhan krn butuh olahraga, Alhamdulillah ada Alun2 dan tempat Alun2 Jombang makin keren...di pelihara terus yuk warga Jombang..biar tetap Asri dan sehat..🥰 …"
Natiqa Mutafania,"Tempat terbaik untuk jalan kaki di pagi hari, susana syahdu. Sayangnya jogging tracknya belum tersambung ada beberapa bagian yg masih di renovasi. Terdapat mini playground untuk anak, tapi pager playgroundnya baru dibuka sekitar jam 7 lebih jadi sebelum dibuka pada manjat pagernya 😂. Saran dibuka lebih pagi jam 6 gitu. …"
Putri Agustin Wulandari,"Alun alun terapik yang pernah kita singgahi. Bersih, rapi, sejuk tidak ada PKL  atau pedagang permainan anak, seperti alun alun kota lain. Betah berlama lama dan anak super happy. Ada Playground yang wahana mainannya sangat variatif. Singgah 2 jam berasaa 5 menit. Anak happy, orangtua happy karena cuma bayar parkir 🙏. Harga makanan juga terjangkauuu."
ihda Nur Hayati,"Benar² surga mainan buat bocil² kalau pagi dan malam. Sedangkan siang tidak recom karena sepanas ituu 😭
Tapi bener² cantik dan estetik benget alun² skrg top !!!"
Aryani Sitio,"Ruang publik yang cukup nyaman utk berolahraga.
Ada wahana permainan anak
Joging track
Tapi ngga ada pedagang kaki lima, jd kalau lari mesti bawa minum sendiri"
Ahmad Syafii,Bagus dan cukup luas tapi sangat disayangkan tempat penjual makanan pas siang enggak ada. cocok untuk main waktu sore.
Hobi Traveling,"Ada playgroundnya, cocok untuk momong anak-anak jika yg sudah punya anak. Tapi pada waktu siang panas banget, rekomendasi ke sana sore saja, atau nggak pagi banget, setelah subuh sambil jogging. Di depan masjid agungnya banyak yg juala bakso & es teh, dan ada juga jajanan lainnya. Sebelah utara alun-alun ada kawasan streetfood banyak yang jualan makanan dan minuman."
Gebby agnessya,"Kelebihan : luas, banyak spot foto, konsepnya bagus ruang terbuka di tengah kota, lengkap dengan area bermain anak, bangku-bangku taman, pendopo dan pedestrian

Kekurangan : kurang optimal pemeliharaannya, pedestrian paving bergelombang dan beberapa spot terputus krn ada ornamen tugu, kebersihan kurang khususnya di area yang ada kandang merpatinya (kotoran burung sangat kotor dan mengganggu)"
ari devil,"sangat meriahh,,, mungkin sedikit saran perlu dintambah tempat sampah sekitaran playground dan di lapangan karena sampahe hnya ada di sekitar masjid,,,,
toilettt di bantu penjaga pas kesana ada yang tiduran jadi kurang sedaap di pandang"
Gikha Anisa,"Tempatnya luas dan bagus, ada area untuk bermain anak dan lapangan yang luas, di depannya ada masjid agung yang besar dan luas"
Devana Nur N,"Tempat rekreasi yang ada di tengah kota Jombang dan 200m dari stasiun Jombang ini cocok banget buat liburan atau piknik keluarga. Ada juga playground yang bisa digunakan untuk anak-anak bermain juga terdapat banyak pkl yang berjualan di area sana. Piknik ala ala di alun alun merupakan kegiatan yang cocok dilakukan di akhir pekan bersama keluarga, teman, atau pacar. Selain itu juga biasanya digunakan sebagai area olahraga seperti jogging atau bulu tangkis. Tempatnya bersih, asri, dan nyaman. Liburan yang sangat ramah di kantong, juga di dekatnya ada masjid agung Jombang, jadi tidak ada alasan untuk meninggalkan sholat saat liburan. Recommended banget deh!!!"
Sulistyo Elita,Alun-alun terbaik alhamdulillah setelah direnovasi sudah sangat berubah. Banyak sekali fasilitas umum yang ramah anak-anak. Khusus playground ini bisa untuk segala usia dan anak pun bahagia.
Cah Rantau,"Taman bermain pusat kota alun alun jombang. Alun-alun Jombang adalah ruang publik yang terletak di pusat kota Jombang, Jawa Timur. Sebagai jantung kota, alun-alun ini sering menjadi pusat kegiatan masyarakat, baik untuk rekreasi, olahraga, maupun acara-acara besar seperti peringatan hari besar nasional dan festival lokal.

Beberapa fitur utama dari Alun-alun Jombang meliputi:
1. **Lapangan Terbuka**: Area luas yang biasanya digunakan untuk berbagai kegiatan seperti senam, bermain sepak bola, dan acara komunitas.
2. **Taman dan Pepohonan**: Alun-alun ini dihiasi dengan taman-taman hijau dan pepohonan yang memberikan suasana sejuk dan nyaman bagi pengunjung.
3. **Monumen dan Patung**: Terdapat beberapa monumen dan patung yang menambah nilai estetika dan sejarah dari tempat ini.
4. **Fasilitas Olahraga**: Area jogging track dan fasilitas olahraga lainnya sering dimanfaatkan oleh warga untuk berolahraga setiap hari.
5. **Kuliner dan Pedagang Kaki Lima**: Di sekitar alun-alun, banyak pedagang yang menjual berbagai makanan dan minuman, menjadikannya tempat yang cocok untuk bersantai dan menikmati kuliner lokal.

Selain itu, Alun-alun Jombang juga sering menjadi tempat berkumpulnya keluarga, komunitas, dan anak muda yang ingin menikmati waktu luang mereka. Tempat ini juga dilengkapi dengan fasilitas umum seperti tempat duduk, toilet, dan area parkir yang memadai."
I A M,"Mau mampir... Namun saat itu panas sekali saat siang hari

Mau duduk dibalai kota kok banyak sekali orang jualan ya pada berisik sihhh

Gaada stand khusus pada menyampur lantai balai kurang bersih jadi ragu saat mau kesana... Masih bisa ditingkatkan kembali ketertibannya yaa"
Devano Ramadhanto,"Alun alun ini biasanya digunakan untuk berbagai aktivitas umum seperti olahraga, taman bermain, area piknik, ataupun konser tahunan untuk memperingati hal tertentu

Letaknya pun strategis ,berada dekat dengan stasiun Jombang, masjid agung, kawasan sekolah, dan pendopo agung. Apabila ingin beristirahat sejenak juga tersedia kursi taman di sisi timur alun alun

Saat disini dulu banyak masyarakat yang melakukan olahraga pagi, baik dari usia anak anak hingga dewasa, ada juga yang jogging adapula yang bersepeda"
Alif Ramadhan,"Tempat refreshing, ramai banyak pengunjung. Trus d'setiap hari Minggu pagi selalu penuh pengunjung, d'mlm hari juga ngk kalah ramai. trus untuk kulinerannya mantap"" dah 🤤 …"
Dear Regita Permatasari,"Bisa buat jogging di pagi maupun sore, tapi kurang enak track nya. Karna bakal ada naik turun tangga, kecuali jogging di luar alun-alunnya.

Ada taman bermain yg cukup luas,

Kalo malam bisa nyantai disini sambil bawa jajanan sendiri, jangan lupa jaga kebersihan ya guyss.

Untuk toilet bisa ke masjid jami’ si,"
Galih Pradana Ramadhan,"Alun-alun ddngan tempat strategis, diapit kantor pemerintahan, stasiun kereta api, sekolahan dan masjid Jami. Sayang tempatnya kurang ""adem"" dan tertata dengan baik. Tempat bermain anak-anak cukup panas tidak ada penutup sehingga jika siang sangat terik tidak nyaman untuk dibuat bermain. Semoga ada perbaikan dan inovasi yang bagus untuk pemkab Jombang."
Raden Milda Darozeti,"Free entrance, tertata lokasi sudah pasti strategis, anak saya sangat suka dibawa kesini, mudah2an selalu terawat dan warga juga bisa disiplin, makasi Sudah ada fasilitas Playground yang nyaman dan bersih"
Evha zuka zuka,"Saya kesana malam, sm anak2 disini konsepx lapangan yg lebar  tersedia berbagai macam mainan kaya prosotan, ayunan, kuda2an n dll gratis cocok buat anak2 mainan, cm harus tau diri ya karena permainanx gantian,
Minus banyak yg jualan mainan, jd anak2 jg minta mainan m super rame di sini"
Eko Muzaki,tempatnya Sangat ramai kalo menjelang sore hari.tepatnya depan stasiun Jombang.ada juga sarana bermain anak-anak
Nesia S. Anggi,Tempatnya bagus buat menghabiskan energi anak anak. . Playgroundnya juga ada. Kalau bisa ayunannya ditambah biar ndak rebutan. . Hehehe. .
Siti Mudawamah,"Acara Mudik Keluarga, dan hari Minggu mencoba ajak anak2 main kesana.
Playground pas pagi tutup dan banyak yang menerobos masuk dengan melangkahi pagar utama karena memang rendah.
Sampai malam setelah Maghrib tetap ditutup.
Baru buka setelah jelang isya', entah apa alasannya.
Tapi tidak disarankan seperti itu, Sangat berbahaya.😮‍💨🚨🚧🛑❌

Ada yg paling mencuri perhatian saya, yaitu stand kerenjang dipintu utama untuk botol plastik bekas sebagai karcis masuknya keren👍. Secara gak langsung mengajak masyarakat untuk lebih peduli kebersihan.

Ada customer service yg memantau pengunjung jadi ketika ada hal2 tidak menyenangkan mungkin, anak terpisah dari ortu bisa langsung menuju sumber suara CS.
Ini patut di contoh di kota lain/pusat2 keramaian lain yg mgkn belum menerapkan sistem ini.
Karena padatnya pengunjung, anak yg asyk bermain hingga lepas pengawasan.

Jajanan juga lumayan terjangkau. Seru bisa menghabiskan waktu bersama keluarga."
Mulki N. Alin,"Menyenangkan karena banyak burung, minusnya paling kotoran burungnya kemana2, jadi kalau duduk sembarangan bisa jadi kena kotoran burung. Tidak disarankan abis main di alun2 lgsg sholat di mesjid, takut najis kena kotoran burungnya. Tapi selebihnya oke, enak buat main bareng keluarga buat sekedar lihat2 aktivitas orang2 atau buat lari. Dekat dengan mesjid dan stasiun"
Ainun Nufus,"Setelah direkonstruksi kembali, Tambah bagus alun-alunnya. Ada tempat bermain anak gratis, ada tempat burung dara juga kalo ingin kasih makan, pendopo lama masih ada, bener2 lebih bagus dan terawat. Cocok buat menikmati pagi santai bersama keluarga👍👍👍 …"
Tikno Chandra,"Taman alun alun yang kece badai sobat,meskipun renovasinya masih setengahnya. Jika sudah rampung mungkin terlihat semakin keren. Area play ground dan rumput sintentis ala alun alun kota Bandung juga ada.fasilitas toilet lumayan ok, walaupun tidak gratis tapi di sediakan kotak amal seiklasnya. Kursi untuk tempat duduk juga tersedia di setiap sudut taman. Jika berkunjung ke sini sobat bisa di pagi, sore ataupun malam karena kalau di siang hari cuacanya cukup terik dan panas. Ok sobat sampai di sini dulu dan selamat berlibur. 😀👍"
falisca amelinda,"Keren dan nyaman karena fasilitas bermainnya banyak, tapi kalau weekend rame banget. Terus kalau siang ke sana usahakan pakai kaos kaki karena pas lagi matahari terik kaki panas banget 😊 …"
zahrayara,"ini tempat aku sama temen2 klo kumpul, karna sekolah ku di dekat situ.. jadi klo habis praktek dan masih ada waktu luang jadi kesini buat refresing otak biar ga panas2 bgt apalagi dulu tempat ini banyak makanan di tengah alun2 jadi rame trus dulu di pinggirannya juga ada wahana mainan anak waktu kecil juga naik istana balon apalagi kereta kereta an nya, tapi sekarang udh ga ada.. ada nya di ganti taman dan street foodnya pindah ke jokul (jombang kuliner)"
vina aja,Tempatnya luas dan bersih. Banyak arena bermain anak dan terawat. Kalau pengen njajan lokasinya ada didepan masjid.
Karman,"Alun-alun nya luas dan bagus serta lokasi nya strategis, mudah dijangkau."
Ade Puspita Sari,"Alun-Alun Kota Jombang suasana teduh banyak pohon bikin rindang,
Banyak pedagang kaki lima cocok buat kuliner street food dan harga amat sangat terjangkau sekali.
Di area lapangan ada banyak burung merpati,
Jika kalian sempat bisa bawa roti/jagung buat mereka dan itu menyenangkan.
Toilet umum tidak tersedia tapi untungnya sebelah masjid agung jadi bisa numpang toilet di Masjid.
Yang paling berkesan di lapangan alun-alunnya ada Playground buat anak"" yang cukup memadai, sayangnya selama pandemi ini masih di tutup
Jogging track juga tersedia walaupun kadang di gelari karpet sama pedagang kaki lima.
Lokasi alun-alun benar"" strategis soalnya depan udah stasiun kereta Jombang dan kadang ada bis antar kota juga yang lewat di depannya."
Nina Savitri,"Alun alun yang cukup rapi dan bersih, beberapa spot sangat bisa dijadikan background foto, dilengkapi Playground untuk anak anak juga, pengunjung juga bisa membawa tikar dan bekal makanan untuk dimakan disana. Ada juga pedagang kaki lima yang jualannya bervariasi sehingga memudahkan pengunjung untuk wisata kuliner, ragam kuliner semakin banyak jika datang pada hari libur nasional"
